Run,K,Threshold,Precision,Recall,Accuracy,Epsilon,BlockSize
1,5,3,0.0,0.0,0.5,1.0,1
1,5,4,0.0,0.0,0.5,1.0,1
1,5,5,0.0,0.0,0.5,1.0,1
1,5,6,0.0,0.0,0.5,1.0,1
1,5,7,0.0,0.0,0.5,1.0,1
1,5,8,0.0,0.0,0.4,1.0,1
1,5,9,0.0,0.0,0.3,1.0,1
1,5,10,0.0,0.0,0.3,1.0,1
1,10,0,0.0,0.0,0.5,1.0,1
1,10,1,0.0,0.0,0.5,1.0,1
1,10,2,0.0,0.0,0.5,1.0,1
1,10,3,0.0,0.0,0.5,1.0,1
1,10,4,0.0,0.0,0.5,1.0,1
1,10,5,0.0,0.0,0.5,1.0,1
1,10,6,0.0,0.0,0.5,1.0,1
1,10,7,0.0,0.0,0.5,1.0,1
1,10,8,0.0,0.0,0.5,1.0,1
1,10,9,0.0,0.0,0.5,1.0,1
1,10,10,0.0,0.0,0.5,1.0,1
2,5,0,0.0,0.0,0.5,1.0,1
2,5,1,0.0,0.0,0.5,1.0,1
2,5,2,0.0,0.0,0.5,1.0,1
2,5,3,0.0,0.0,0.5,1.0,1
2,5,4,0.0,0.0,0.5,1.0,1
2,5,5,0.0,0.0,0.5,1.0,1
2,5,6,0.0,0.0,0.5,1.0,1
2,5,7,0.0,0.0,0.5,1.0,1
2,5,8,0.0,0.0,0.4,1.0,1
2,5,9,0.0,0.0,0.3,1.0,1
2,5,10,0.0,0.0,0.3,1.0,1
2,10,0,0.0,0.0,0.5,1.0,1
2,10,1,0.0,0.0,0.5,1.0,1
2,10,2,0.0,0.0,0.5,1.0,1
2,10,3,0.0,0.0,0.5,1.0,1
2,10,4,0.0,0.0,0.5,1.0,1
2,10,5,0.0,0.0,0.5,1.0,1
2,10,6,0.0,0.0,0.5,1.0,1
2,10,7,0.0,0.0,0.5,1.0,1
2,10,8,0.0,0.0,0.5,1.0,1
2,10,9,0.0,0.0,0.5,1.0,1
2,10,10,0.0,0.0,0.5,1.0,1
3,5,0,0.0,0.0,0.5,1.0,1
3,5,1,0.0,0.0,0.5,1.0,1
3,5,2,0.0,0.0,0.5,1.0,1
3,5,3,0.0,0.0,0.5,1.0,1
3,5,4,0.0,0.0,0.5,1.0,1
3,5,5,0.0,0.0,0.5,1.0,1
3,5,6,0.0,0.0,0.5,1.0,1
3,5,7,0.0,0.0,0.5,1.0,1
3,5,8,0.0,0.0,0.5,1.0,1
3,5,9,0.0,0.0,0.4,1.0,1
3,5,10,0.0,0.0,0.4,1.0,1
3,10,0,0.0,0.0,0.5,1.0,1
3,10,1,0.0,0.0,0.5,1.0,1
3,10,2,0.0,0.0,0.5,1.0,1
3,10,3,0.0,0.0,0.5,1.0,1
3,10,4,0.0,0.0,0.5,1.0,1
3,10,5,0.0,0.0,0.5,1.0,1
3,10,6,0.0,0.0,0.5,1.0,1
3,10,7,0.0,0.0,0.5,1.0,1
3,10,8,0.0,0.0,0.5,1.0,1
3,10,9,0.0,0.0,0.5,1.0,1
3,10,10,0.0,0.0,0.5,1.0,1
4,5,0,0.0,0.0,0.5,1.0,1
4,5,1,0.0,0.0,0.5,1.0,1
4,5,2,0.0,0.0,0.5,1.0,1
4,5,3,0.0,0.0,0.5,1.0,1
4,5,4,0.0,0.0,0.5,1.0,1
4,5,5,0.0,0.0,0.4,1.0,1
4,5,6,0.0,0.0,0.4,1.0,1
4,5,7,0.0,0.0,0.4,1.0,1
4,5,8,0.0,0.0,0.4,1.0,1
4,5,9,0.0,0.0,0.4,1.0,1
4,5,10,0.0,0.0,0.4,1.0,1
4,10,0,0.0,0.0,0.5,1.0,1
4,10,1,0.0,0.0,0.5,1.0,1
4,10,2,0.0,0.0,0.5,1.0,1
4,10,3,0.0,0.0,0.5,1.0,1
4,10,4,0.0,0.0,0.5,1.0,1
4,10,5,0.0,0.0,0.5,1.0,1
4,10,6,0.0,0.0,0.5,1.0,1
4,10,7,0.0,0.0,0.5,1.0,1
4,10,8,0.0,0.0,0.5,1.0,1
4,10,9,0.0,0.0,0.5,1.0,1
4,10,10,0.0,0.0,0.5,1.0,1
0,5,0,0.0,0.0,0.5,1.0,2
0,5,1,0.0,0.0,0.5,1.0,2
0,5,2,0.0,0.0,0.5,1.0,2
0,5,3,0.0,0.0,0.5,1.0,2
0,5,4,0.0,0.0,0.5,1.0,2
0,5,5,0.0,0.0,0.5,1.0,2
0,5,6,0.0,0.0,0.5,1.0,2
0,5,7,0.0,0.0,0.5,1.0,2
0,5,8,0.0,0.0,0.5,1.0,2
0,5,9,0.0,0.0,0.4,1.0,2
0,5,10,0.0,0.0,0.4,1.0,2
0,10,0,0.0,0.0,0.5,1.0,2
0,10,1,0.0,0.0,0.5,1.0,2
0,10,2,0.0,0.0,0.5,1.0,2
0,10,3,0.0,0.0,0.5,1.0,2
0,10,4,0.0,0.0,0.5,1.0,2
0,10,5,0.0,0.0,0.5,1.0,2
0,10,6,0.0,0.0,0.5,1.0,2
0,10,7,0.0,0.0,0.5,1.0,2
0,10,8,0.0,0.0,0.5,1.0,2
0,10,9,0.0,0.0,0.5,1.0,2
0,10,10,0.0,0.0,0.5,1.0,2
1,5,0,0.0,0.0,0.5,1.0,2
1,5,1,0.0,0.0,0.5,1.0,2
1,5,2,0.0,0.0,0.5,1.0,2
1,5,3,0.0,0.0,0.5,1.0,2
1,5,4,0.0,0.0,0.5,1.0,2
1,5,5,0.0,0.0,0.5,1.0,2
1,5,6,0.0,0.0,0.5,1.0,2
1,5,7,0.0,0.0,0.5,1.0,2
1,5,8,0.0,0.0,0.5,1.0,2
1,5,9,0.0,0.0,0.4,1.0,2
1,5,10,0.0,0.0,0.3,1.0,2
1,10,0,0.0,0.0,0.5,1.0,2
1,10,1,0.0,0.0,0.5,1.0,2
1,10,2,0.0,0.0,0.5,1.0,2
1,10,3,0.0,0.0,0.5,1.0,2
1,10,4,0.0,0.0,0.5,1.0,2
1,10,5,0.0,0.0,0.5,1.0,2
1,10,6,0.0,0.0,0.5,1.0,2
1,10,7,0.0,0.0,0.5,1.0,2
1,10,8,0.0,0.0,0.5,1.0,2
1,10,9,0.0,0.0,0.5,1.0,2
1,10,10,0.0,0.0,0.5,1.0,2
2,5,0,0.0,0.0,0.5,1.0,2
2,5,1,0.0,0.0,0.5,1.0,2
2,5,2,0.0,0.0,0.5,1.0,2
2,5,3,0.0,0.0,0.5,1.0,2
2,5,4,0.0,0.0,0.5,1.0,2
2,5,5,0.0,0.0,0.5,1.0,2
2,5,6,0.0,0.0,0.5,1.0,2
2,5,7,0.0,0.0,0.3,1.0,2
2,5,8,0.0,0.0,0.3,1.0,2
2,5,9,0.0,0.0,0.3,1.0,2
2,5,10,0.0,0.0,0.2,1.0,2
2,10,0,0.0,0.0,0.5,1.0,2
2,10,1,0.0,0.0,0.5,1.0,2
2,10,2,0.0,0.0,0.5,1.0,2
2,10,3,0.0,0.0,0.5,1.0,2
2,10,4,0.0,0.0,0.5,1.0,2
2,10,5,0.0,0.0,0.5,1.0,2
2,10,6,0.0,0.0,0.5,1.0,2
2,10,7,0.0,0.0,0.5,1.0,2
2,10,8,0.0,0.0,0.5,1.0,2
2,10,9,0.0,0.0,0.5,1.0,2
2,10,10,0.0,0.0,0.5,1.0,2
3,5,0,0.0,0.0,0.5,1.0,2
3,5,1,0.0,0.0,0.5,1.0,2
3,5,2,0.0,0.0,0.5,1.0,2
3,5,3,0.0,0.0,0.5,1.0,2
3,5,4,0.0,0.0,0.5,1.0,2
3,5,5,0.0,0.0,0.5,1.0,2
3,5,6,0.0,0.0,0.5,1.0,2
3,5,7,0.0,0.0,0.4,1.0,2
3,5,8,0.0,0.0,0.4,1.0,2
3,5,9,0.0,0.0,0.4,1.0,2
3,5,10,0.0,0.0,0.4,1.0,2
3,10,0,0.0,0.0,0.5,1.0,2
3,10,1,0.0,0.0,0.5,1.0,2
3,10,2,0.0,0.0,0.5,1.0,2
3,10,3,0.0,0.0,0.5,1.0,2
3,10,4,0.0,0.0,0.5,1.0,2
3,10,5,0.0,0.0,0.5,1.0,2
3,10,6,0.0,0.0,0.5,1.0,2
3,10,7,0.0,0.0,0.5,1.0,2
3,10,8,0.0,0.0,0.5,1.0,2
3,10,9,0.0,0.0,0.5,1.0,2
3,10,10,0.0,0.0,0.5,1.0,2
4,5,0,0.0,0.0,0.5,1.0,2
4,5,1,0.0,0.0,0.5,1.0,2
4,5,2,0.0,0.0,0.5,1.0,2
4,5,3,0.0,0.0,0.5,1.0,2
4,5,4,0.0,0.0,0.5,1.0,2
4,5,5,0.0,0.0,0.5,1.0,2
4,5,6,0.0,0.0,0.5,1.0,2
4,5,7,0.0,0.0,0.5,1.0,2
4,5,8,0.0,0.0,0.5,1.0,2
4,5,9,0.0,0.0,0.3,1.0,2
4,5,10,0.0,0.0,0.3,1.0,2
4,10,0,0.0,0.0,0.5,1.0,2
4,10,1,0.0,0.0,0.5,1.0,2
4,10,2,0.0,0.0,0.5,1.0,2
4,10,3,0.0,0.0,0.5,1.0,2
4,10,4,0.0,0.0,0.5,1.0,2
4,10,5,0.0,0.0,0.5,1.0,2
4,10,6,0.0,0.0,0.5,1.0,2
4,10,7,0.0,0.0,0.5,1.0,2
4,10,8,0.0,0.0,0.5,1.0,2
4,10,9,0.0,0.0,0.5,1.0,2
4,10,10,0.0,0.0,0.5,1.0,2
0,5,0,0.0,0.0,0.5,1.0,5
0,5,1,0.0,0.0,0.5,1.0,5
0,5,2,0.0,0.0,0.5,1.0,5
0,5,3,0.0,0.0,0.5,1.0,5
0,5,4,0.0,0.0,0.5,1.0,5
0,5,5,0.0,0.0,0.5,1.0,5
0,5,6,0.0,0.0,0.5,1.0,5
0,5,7,0.0,0.0,0.5,1.0,5
0,5,8,0.0,0.0,0.5,1.0,5
0,5,9,0.0,0.0,0.5,1.0,5
0,5,10,0.0,0.0,0.3,1.0,5
0,10,0,0.0,0.0,0.5,1.0,5
0,10,1,0.0,0.0,0.5,1.0,5
0,10,2,0.0,0.0,0.5,1.0,5
0,10,3,0.0,0.0,0.5,1.0,5
0,10,4,0.0,0.0,0.5,1.0,5
0,10,5,0.0,0.0,0.5,1.0,5
0,10,6,0.0,0.0,0.5,1.0,5
0,10,7,0.0,0.0,0.5,1.0,5
0,10,8,0.0,0.0,0.5,1.0,5
0,10,9,0.0,0.0,0.5,1.0,5
0,10,10,0.0,0.0,0.5,1.0,5
1,5,0,0.0,0.0,0.5,1.0,5
1,5,1,0.0,0.0,0.5,1.0,5
1,5,2,0.0,0.0,0.5,1.0,5
1,5,3,0.0,0.0,0.5,1.0,5
1,5,4,0.0,0.0,0.5,1.0,5
1,5,5,0.0,0.0,0.5,1.0,5
1,5,6,0.0,0.0,0.5,1.0,5
1,5,7,0.0,0.0,0.5,1.0,5
1,5,8,0.0,0.0,0.4,1.0,5
1,5,9,0.0,0.0,0.4,1.0,5
1,5,10,0.0,0.0,0.3,1.0,5
1,10,0,0.0,0.0,0.5,1.0,5
1,10,1,0.0,0.0,0.5,1.0,5
1,10,2,0.0,0.0,0.5,1.0,5
1,10,3,0.0,0.0,0.5,1.0,5
1,10,4,0.0,0.0,0.5,1.0,5
1,10,5,0.0,0.0,0.5,1.0,5
1,10,6,0.0,0.0,0.5,1.0,5
1,10,7,0.0,0.0,0.5,1.0,5
1,10,8,0.0,0.0,0.5,1.0,5
1,10,9,0.0,0.0,0.5,1.0,5
1,10,10,0.0,0.0,0.5,1.0,5
2,5,0,0.0,0.0,0.5,1.0,5
2,5,1,0.0,0.0,0.5,1.0,5
2,5,2,0.0,0.0,0.5,1.0,5
2,5,3,0.0,0.0,0.5,1.0,5
2,5,4,0.0,0.0,0.5,1.0,5
2,5,5,0.0,0.0,0.5,1.0,5
2,5,6,0.0,0.0,0.5,1.0,5
2,5,7,0.0,0.0,0.5,1.0,5
2,5,8,0.0,0.0,0.5,1.0,5
2,5,9,0.0,0.0,0.4,1.0,5
2,5,10,0.0,0.0,0.3,1.0,5
2,10,0,0.0,0.0,0.5,1.0,5
2,10,1,0.0,0.0,0.5,1.0,5
2,10,2,0.0,0.0,0.5,1.0,5
2,10,3,0.0,0.0,0.5,1.0,5
2,10,4,0.0,0.0,0.5,1.0,5
2,10,5,0.0,0.0,0.5,1.0,5
2,10,6,0.0,0.0,0.5,1.0,5
2,10,7,0.0,0.0,0.5,1.0,5
2,10,8,0.0,0.0,0.5,1.0,5
2,10,9,0.0,0.0,0.5,1.0,5
2,10,10,0.0,0.0,0.5,1.0,5
3,5,0,0.0,0.0,0.5,1.0,5
3,5,1,0.0,0.0,0.5,1.0,5
3,5,2,0.0,0.0,0.5,1.0,5
3,5,3,0.0,0.0,0.5,1.0,5
3,5,4,0.0,0.0,0.5,1.0,5
3,5,5,0.0,0.0,0.5,1.0,5
3,5,6,0.0,0.0,0.5,1.0,5
3,5,7,0.0,0.0,0.5,1.0,5
3,5,8,0.0,0.0,0.5,1.0,5
3,5,9,0.0,0.0,0.5,1.0,5
3,5,10,0.0,0.0,0.4,1.0,5
3,10,0,0.0,0.0,0.5,1.0,5
3,10,1,0.0,0.0,0.5,1.0,5
3,10,2,0.0,0.0,0.5,1.0,5
3,10,3,0.0,0.0,0.5,1.0,5
3,10,4,0.0,0.0,0.5,1.0,5
3,10,5,0.0,0.0,0.5,1.0,5
3,10,6,0.0,0.0,0.5,1.0,5
3,10,7,0.0,0.0,0.5,1.0,5
3,10,8,0.0,0.0,0.5,1.0,5
3,10,9,0.0,0.0,0.5,1.0,5
3,10,10,0.0,0.0,0.5,1.0,5
4,5,0,0.0,0.0,0.5,1.0,5
4,5,1,0.0,0.0,0.5,1.0,5
4,5,2,0.0,0.0,0.5,1.0,5
4,5,3,0.0,0.0,0.5,1.0,5
4,5,4,0.0,0.0,0.5,1.0,5
4,5,5,0.0,0.0,0.5,1.0,5
4,5,6,0.0,0.0,0.5,1.0,5
4,5,7,0.0,0.0,0.5,1.0,5
4,5,8,0.0,0.0,0.5,1.0,5
4,5,9,0.0,0.0,0.4,1.0,5
4,5,10,0.0,0.0,0.4,1.0,5
4,10,0,0.0,0.0,0.5,1.0,5
4,10,1,0.0,0.0,0.5,1.0,5
4,10,2,0.0,0.0,0.5,1.0,5
4,10,3,0.0,0.0,0.5,1.0,5
4,10,4,0.0,0.0,0.5,1.0,5
4,10,5,0.0,0.0,0.5,1.0,5
4,10,6,0.0,0.0,0.5,1.0,5
4,10,7,0.0,0.0,0.5,1.0,5
4,10,8,0.0,0.0,0.5,1.0,5
4,10,9,0.0,0.0,0.5,1.0,5
4,10,10,0.0,0.0,0.5,1.0,5
0,5,0,0.0,0.0,0.5,1.0,10
0,5,1,0.0,0.0,0.5,1.0,10
0,5,2,0.0,0.0,0.5,1.0,10
0,5,3,0.0,0.0,0.5,1.0,10
0,5,4,0.0,0.0,0.5,1.0,10
0,5,5,0.0,0.0,0.5,1.0,10
0,5,6,0.0,0.0,0.5,1.0,10
0,5,7,0.0,0.0,0.5,1.0,10
0,5,8,0.0,0.0,0.5,1.0,10
0,5,9,0.0,0.0,0.5,1.0,10
0,5,10,0.0,0.0,0.5,1.0,10
0,10,0,0.0,0.0,0.5,1.0,10
0,10,1,0.0,0.0,0.5,1.0,10
0,10,2,0.0,0.0,0.5,1.0,10
0,10,3,0.0,0.0,0.5,1.0,10
0,10,4,0.0,0.0,0.5,1.0,10
0,10,5,0.0,0.0,0.5,1.0,10
0,10,6,0.0,0.0,0.5,1.0,10
0,10,7,0.0,0.0,0.5,1.0,10
0,10,8,0.0,0.0,0.5,1.0,10
0,10,9,0.0,0.0,0.5,1.0,10
0,10,10,0.0,0.0,0.5,1.0,10
1,5,0,0.0,0.0,0.5,1.0,10
1,5,1,0.0,0.0,0.5,1.0,10
1,5,2,0.0,0.0,0.5,1.0,10
1,5,3,0.0,0.0,0.5,1.0,10
1,5,4,0.0,0.0,0.5,1.0,10
1,5,5,0.0,0.0,0.5,1.0,10
1,5,6,0.0,0.0,0.5,1.0,10
1,5,7,0.0,0.0,0.5,1.0,10
1,5,8,0.0,0.0,0.5,1.0,10
1,5,9,0.0,0.0,0.5,1.0,10
1,5,10,0.0,0.0,0.5,1.0,10
1,10,0,0.0,0.0,0.5,1.0,10
1,10,1,0.0,0.0,0.5,1.0,10
1,10,2,0.0,0.0,0.5,1.0,10
1,10,3,0.0,0.0,0.5,1.0,10
1,10,4,0.0,0.0,0.5,1.0,10
1,10,5,0.0,0.0,0.5,1.0,10
1,10,6,0.0,0.0,0.5,1.0,10
1,10,7,0.0,0.0,0.5,1.0,10
1,10,8,0.0,0.0,0.5,1.0,10
1,10,9,0.0,0.0,0.5,1.0,10
1,10,10,0.0,0.0,0.5,1.0,10
2,5,0,0.0,0.0,0.5,1.0,10
2,5,1,0.0,0.0,0.5,1.0,10
2,5,2,0.0,0.0,0.5,1.0,10
2,5,3,0.0,0.0,0.5,1.0,10
2,5,4,0.0,0.0,0.5,1.0,10
2,5,5,0.0,0.0,0.5,1.0,10
2,5,6,0.0,0.0,0.5,1.0,10
2,5,7,0.0,0.0,0.5,1.0,10
2,5,8,0.0,0.0,0.5,1.0,10
2,5,9,0.0,0.0,0.5,1.0,10
2,5,10,0.0,0.0,0.5,1.0,10
2,10,0,0.0,0.0,0.5,1.0,10
2,10,1,0.0,0.0,0.5,1.0,10
2,10,2,0.0,0.0,0.5,1.0,10
2,10,3,0.0,0.0,0.5,1.0,10
2,10,4,0.0,0.0,0.5,1.0,10
2,10,5,0.0,0.0,0.5,1.0,10
2,10,6,0.0,0.0,0.5,1.0,10
2,10,7,0.0,0.0,0.5,1.0,10
2,10,8,0.0,0.0,0.5,1.0,10
2,10,9,0.0,0.0,0.5,1.0,10
2,10,10,0.0,0.0,0.5,1.0,10
3,5,0,0.0,0.0,0.5,1.0,10
3,5,1,0.0,0.0,0.5,1.0,10
3,5,2,0.0,0.0,0.5,1.0,10
3,5,3,0.0,0.0,0.5,1.0,10
3,5,4,0.0,0.0,0.5,1.0,10
3,5,5,0.0,0.0,0.5,1.0,10
3,5,6,0.0,0.0,0.5,1.0,10
3,5,7,0.0,0.0,0.3,1.0,10
3,5,8,0.0,0.0,0.3,1.0,10
3,5,9,0.0,0.0,0.3,1.0,10
3,5,10,0.0,0.0,0.3,1.0,10
3,10,0,0.0,0.0,0.5,1.0,10
3,10,1,0.0,0.0,0.5,1.0,10
3,10,2,0.0,0.0,0.5,1.0,10
3,10,3,0.0,0.0,0.5,1.0,10
3,10,4,0.0,0.0,0.5,1.0,10
3,10,5,0.0,0.0,0.5,1.0,10
3,10,6,0.0,0.0,0.5,1.0,10
3,10,7,0.0,0.0,0.5,1.0,10
3,10,8,0.0,0.0,0.5,1.0,10
3,10,9,0.0,0.0,0.5,1.0,10
3,10,10,0.0,0.0,0.5,1.0,10
4,5,0,0.0,0.0,0.5,1.0,10
4,5,1,0.0,0.0,0.5,1.0,10
4,5,2,0.0,0.0,0.5,1.0,10
4,5,3,0.0,0.0,0.5,1.0,10
4,5,4,0.0,0.0,0.5,1.0,10
4,5,5,0.0,0.0,0.5,1.0,10
4,5,6,0.0,0.0,0.5,1.0,10
4,5,7,0.0,0.0,0.4,1.0,10
4,5,8,0.0,0.0,0.3,1.0,10
4,5,9,0.0,0.0,0.3,1.0,10
4,5,10,0.0,0.0,0.3,1.0,10
4,10,0,0.0,0.0,0.5,1.0,10
4,10,1,0.0,0.0,0.5,1.0,10
4,10,2,0.0,0.0,0.5,1.0,10
4,10,3,0.0,0.0,0.5,1.0,10
4,10,4,0.0,0.0,0.5,1.0,10
4,10,5,0.0,0.0,0.5,1.0,10
4,10,6,0.0,0.0,0.5,1.0,10
4,10,7,0.0,0.0,0.5,1.0,10
4,10,8,0.0,0.0,0.5,1.0,10
4,10,9,0.0,0.0,0.5,1.0,10
4,10,10,0.0,0.0,0.5,1.0,10
0,5,0,0.0,0.0,0.5,5.0,1
0,5,1,0.0,0.0,0.5,5.0,1
0,5,2,0.0,0.0,0.5,5.0,1
0,5,3,0.0,0.0,0.5,5.0,1
0,5,4,0.0,0.0,0.5,5.0,1
0,5,5,0.0,0.0,0.5,5.0,1
0,5,6,0.0,0.0,0.5,5.0,1
0,5,7,0.0,0.0,0.5,5.0,1
0,5,8,0.0,0.0,0.5,5.0,1
0,5,9,0.0,0.0,0.4,5.0,1
0,5,10,0.0,0.0,0.3,5.0,1
0,10,0,0.0,0.0,0.5,5.0,1
0,10,1,0.0,0.0,0.5,5.0,1
0,10,2,0.0,0.0,0.5,5.0,1
0,10,3,0.0,0.0,0.5,5.0,1
0,10,4,0.0,0.0,0.5,5.0,1
0,10,5,0.0,0.0,0.5,5.0,1
0,10,6,0.0,0.0,0.5,5.0,1
0,10,7,0.0,0.0,0.5,5.0,1
0,10,8,0.0,0.0,0.5,5.0,1
0,10,9,0.0,0.0,0.5,5.0,1
0,10,10,0.0,0.0,0.5,5.0,1
1,5,0,0.0,0.0,0.5,5.0,1
1,5,1,0.0,0.0,0.5,5.0,1
1,5,2,0.0,0.0,0.5,5.0,1
1,5,3,0.0,0.0,0.5,5.0,1
1,5,4,0.0,0.0,0.5,5.0,1
1,5,5,0.0,0.0,0.5,5.0,1
1,5,6,0.0,0.0,0.5,5.0,1
1,5,7,0.0,0.0,0.5,5.0,1
1,5,8,0.0,0.0,0.5,5.0,1
1,5,9,0.0,0.0,0.4,5.0,1
1,5,10,0.0,0.0,0.4,5.0,1
1,10,0,0.0,0.0,0.5,5.0,1
1,10,1,0.0,0.0,0.5,5.0,1
1,10,2,0.0,0.0,0.5,5.0,1
1,10,3,0.0,0.0,0.5,5.0,1
1,10,4,0.0,0.0,0.5,5.0,1
1,10,5,0.0,0.0,0.5,5.0,1
1,10,6,0.0,0.0,0.5,5.0,1
1,10,7,0.0,0.0,0.5,5.0,1
1,10,8,0.0,0.0,0.5,5.0,1
1,10,9,0.0,0.0,0.5,5.0,1
1,10,10,0.0,0.0,0.5,5.0,1
2,5,0,0.0,0.0,0.5,5.0,1
2,5,1,0.0,0.0,0.5,5.0,1
2,5,2,0.0,0.0,0.5,5.0,1
2,5,3,0.0,0.0,0.5,5.0,1
2,5,4,0.0,0.0,0.5,5.0,1
2,5,5,0.0,0.0,0.5,5.0,1
2,5,6,0.0,0.0,0.5,5.0,1
2,5,7,0.0,0.0,0.5,5.0,1
2,5,8,0.0,0.0,0.5,5.0,1
2,5,9,0.0,0.0,0.3,5.0,1
2,5,10,0.0,0.0,0.2,5.0,1
2,10,0,0.0,0.0,0.5,5.0,1
2,10,1,0.0,0.0,0.5,5.0,1
2,10,2,0.0,0.0,0.5,5.0,1
2,10,3,0.0,0.0,0.5,5.0,1
2,10,4,0.0,0.0,0.5,5.0,1
2,10,5,0.0,0.0,0.5,5.0,1
2,10,6,0.0,0.0,0.5,5.0,1
2,10,7,0.0,0.0,0.5,5.0,1
2,10,8,0.0,0.0,0.5,5.0,1
2,10,9,0.0,0.0,0.5,5.0,1
2,10,10,0.0,0.0,0.5,5.0,1
3,5,0,0.0,0.0,0.5,5.0,1
3,5,1,0.0,0.0,0.5,5.0,1
3,5,2,0.0,0.0,0.5,5.0,1
3,5,3,0.0,0.0,0.5,5.0,1
3,5,4,0.0,0.0,0.5,5.0,1
3,5,5,0.0,0.0,0.4,5.0,1
3,5,6,0.0,0.0,0.4,5.0,1
3,5,7,0.0,0.0,0.4,5.0,1
3,5,8,0.0,0.0,0.4,5.0,1
3,5,9,0.0,0.0,0.4,5.0,1
3,5,10,0.0,0.0,0.3,5.0,1
3,10,0,0.0,0.0,0.5,5.0,1
3,10,1,0.0,0.0,0.5,5.0,1
3,10,2,0.0,0.0,0.5,5.0,1
3,10,3,0.0,0.0,0.5,5.0,1
3,10,4,0.0,0.0,0.5,5.0,1
3,10,5,0.0,0.0,0.5,5.0,1
3,10,6,0.0,0.0,0.5,5.0,1
3,10,7,0.0,0.0,0.5,5.0,1
3,10,8,0.0,0.0,0.5,5.0,1
3,10,9,0.0,0.0,0.5,5.0,1
3,10,10,0.0,0.0,0.5,5.0,1
4,5,0,0.0,0.0,0.5,5.0,1
4,5,1,0.0,0.0,0.5,5.0,1
4,5,2,0.0,0.0,0.5,5.0,1
4,5,3,0.0,0.0,0.5,5.0,1
4,5,4,0.0,0.0,0.5,5.0,1
4,5,5,0.0,0.0,0.4,5.0,1
4,5,6,0.0,0.0,0.4,5.0,1
4,5,7,0.0,0.0,0.4,5.0,1
4,5,8,0.0,0.0,0.4,5.0,1
4,5,9,0.0,0.0,0.4,5.0,1
4,5,10,0.0,0.0,0.4,5.0,1
4,10,0,0.0,0.0,0.5,5.0,1
4,10,1,0.0,0.0,0.5,5.0,1
4,10,2,0.0,0.0,0.5,5.0,1
4,10,3,0.0,0.0,0.5,5.0,1
4,10,4,0.0,0.0,0.5,5.0,1
4,10,5,0.0,0.0,0.5,5.0,1
4,10,6,0.0,0.0,0.5,5.0,1
4,10,7,0.0,0.0,0.5,5.0,1
4,10,8,0.0,0.0,0.5,5.0,1
4,10,9,0.0,0.0,0.5,5.0,1
4,10,10,0.0,0.0,0.5,5.0,1
0,5,0,0.0,0.0,0.5,5.0,2
0,5,1,0.0,0.0,0.5,5.0,2
0,5,2,0.0,0.0,0.5,5.0,2
0,5,3,0.0,0.0,0.4,5.0,2
0,5,4,0.0,0.0,0.4,5.0,2
0,5,5,0.0,0.0,0.4,5.0,2
0,5,6,0.0,0.0,0.4,5.0,2
0,5,7,0.0,0.0,0.4,5.0,2
0,5,8,0.0,0.0,0.4,5.0,2
0,5,9,0.0,0.0,0.3,5.0,2
0,5,10,0.0,0.0,0.2,5.0,2
0,10,0,0.0,0.0,0.5,5.0,2
0,10,1,0.0,0.0,0.5,5.0,2
0,10,2,0.0,0.0,0.5,5.0,2
0,10,3,0.0,0.0,0.5,5.0,2
0,10,4,0.0,0.0,0.5,5.0,2
0,10,5,0.0,0.0,0.5,5.0,2
0,10,6,0.0,0.0,0.5,5.0,2
0,10,7,0.0,0.0,0.5,5.0,2
0,10,8,0.0,0.0,0.5,5.0,2
0,10,9,0.0,0.0,0.5,5.0,2
0,10,10,0.0,0.0,0.5,5.0,2
1,5,0,0.0,0.0,0.5,5.0,2
1,5,1,0.0,0.0,0.5,5.0,2
1,5,2,0.0,0.0,0.5,5.0,2
1,5,3,0.0,0.0,0.5,5.0,2
1,5,4,0.0,0.0,0.5,5.0,2
1,5,5,0.0,0.0,0.5,5.0,2
1,5,6,0.0,0.0,0.4,5.0,2
1,5,7,0.0,0.0,0.4,5.0,2
1,5,8,0.0,0.0,0.4,5.0,2
1,5,9,0.0,0.0,0.4,5.0,2
1,5,10,0.0,0.0,0.4,5.0,2
1,10,0,0.0,0.0,0.5,5.0,2
1,10,1,0.0,0.0,0.5,5.0,2
1,10,2,0.0,0.0,0.5,5.0,2
1,10,3,0.0,0.0,0.5,5.0,2
1,10,4,0.0,0.0,0.5,5.0,2
1,10,5,0.0,0.0,0.5,5.0,2
1,10,6,0.0,0.0,0.5,5.0,2
1,10,7,0.0,0.0,0.5,5.0,2
1,10,8,0.0,0.0,0.5,5.0,2
1,10,9,0.0,0.0,0.5,5.0,2
1,10,10,0.0,0.0,0.5,5.0,2
2,5,0,0.0,0.0,0.5,5.0,2
2,5,1,0.0,0.0,0.5,5.0,2
2,5,2,0.0,0.0,0.5,5.0,2
2,5,3,0.0,0.0,0.5,5.0,2
2,5,4,0.0,0.0,0.5,5.0,2
2,5,5,0.0,0.0,0.5,5.0,2
2,5,6,0.0,0.0,0.5,5.0,2
2,5,7,0.0,0.0,0.5,5.0,2
2,5,8,0.0,0.0,0.5,5.0,2
2,5,9,0.0,0.0,0.3,5.0,2
2,5,10,0.0,0.0,0.2,5.0,2
2,10,0,0.0,0.0,0.5,5.0,2
